"曲名","アーティスト","歌った回数","おすすめ","歌唱例リンク"
"モニタリング（Best Friend Remix）","DECO*27","1","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=6363s"
"やさしさに包まれたなら","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=6594s"
"ユリーカ","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=3088s"
"ゆりゆららららゆるゆり大事件","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=2154s"
"ルビーの指環","","1","","https://www.youtube.com/watch?v=yIL7OmGSwr8&t=6288s"
"ロード","THE 虎舞竜","1","","https://www.youtube.com/watch?v=uh6xmtzJdMs&t=6253s"
"ロマンス","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=4355s"
"ロマンスの神様","","1","","https://www.youtube.com/watch?v=48limf1aQUc&t=10053s"
"ロミオとシンデレラ","","1","","https://www.youtube.com/watch?v=48limf1aQUc&t=5254s"
"ワールドイズマイン","supercell","1","","https://www.youtube.com/watch?v=uh6xmtzJdMs&t=7048s"
"ワルキューレがとまらない","","1","","https://www.youtube.com/watch?v=roIDeXEmIMc&t=3402s"
"愛のかたまり","KinKi Kids","1","","https://www.youtube.com/watch?v=P23nZJKKfvI&t=2126s"
"愛をこめて花束を","Superfly","1","","https://www.youtube.com/watch?v=yIL7OmGSwr8&t=3546s"
"愛唄","","1","","https://www.youtube.com/watch?v=ngo1R18xacM&t=3698s"
"嘘","シド","1","","https://www.youtube.com/watch?v=ta4TEFnRbxE&t=294s"
"炎のキン肉マン","","1","","https://www.youtube.com/watch?v=cFmzigVX1GE&t=961s"
"夏色えがおで1 2 jump","","1","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=4001s"
"花唄","TOKIO","1","","https://www.youtube.com/watch?v=P23nZJKKfvI&t=803s"
"怪物","YOASOBI","1","","https://www.youtube.com/watch?v=yIL7OmGSwr8&t=4025s"
"革命デュアリズム","","1","","https://www.youtube.com/watch?v=Q5hrJzGKYB8&t=5573s"
"貴方の恋人になりたい","","1","","https://www.youtube.com/watch?v=BIGK3QKSaXA&t=2227s"
"鬼の宴","","1","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=1586s"
"逆光のフリューゲル","","1","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=5063s"
"救世主メシア","","1","","https://www.youtube.com/watch?v=EoUoIBQwcqw&t=114s"
"胸がドキドキ","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=769s"
"空に唄えば","","1","","https://www.youtube.com/watch?v=wlh059y12eE&t=396s"
"空へ…","","1","","https://www.youtube.com/watch?v=cFmzigVX1GE&t=2988s"
"空耳ケーキ","","1","","https://www.youtube.com/watch?v=BPdOVU7rS5A&t=2203s"
"君のままで","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=1693s"
"撃槍・ガングニール","","1","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=666s"
"月灯りふんわり落ちてくる夜","","1","","https://www.youtube.com/watch?v=cFmzigVX1GE&t=5226s"
"御旗のもとに","巴里華撃団","1","","https://www.youtube.com/watch?v=P23nZJKKfvI&t=4873s"
"光るなら","","1","","https://www.youtube.com/watch?v=uGjRNg8mXm4&t=3797s"
"幸せであれ","","1","","https://www.youtube.com/watch?v=nVut5QRjRZA&t=2439s"
"幸せのシャナナ","BRADIO","1","","https://www.youtube.com/watch?v=uh6xmtzJdMs&t=3863s"
"紅","X JAPAN","1","","https://www.youtube.com/watch?v=wlh059y12eE&t=3832s"
"紅蓮華","LiSA","1","","https://www.youtube.com/watch?v=E2Y1y86oZrQ&t=4101s"
"香水","","1","","https://www.youtube.com/watch?v=cICzuveEcE4&t=477s"
"今夜月の見える丘に","","1","","https://www.youtube.com/watch?v=wlh059y12eE&t=4464s"
"最強○×計画","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=89s"
"最後の雨","中西保志","1","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=1297s"
"糸","福山雅治","1","","https://www.youtube.com/watch?v=XMBTCNoXmY8&t=4002s"
"灼熱スイッチ","","1","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=501s"
"終端の王と異世界の騎士 ～The Endia & The Knights～","Sound Horizon","1","","https://www.youtube.com/watch?v=P23nZJKKfvI&t=5657s"
"粛聖★ロリ神レクイエム","","1","","https://www.youtube.com/watch?v=eqrwYJl1tW4&t=3500s"
"女々しくて","","1","","https://www.youtube.com/watch?v=ngo1R18xacM&t=4840s"
"少年","ゆず","1","","https://www.youtube.com/watch?v=uh6xmtzJdMs&t=994s"
"少年ハート","","1","","https://www.youtube.com/watch?v=cFmzigVX1GE&t=4341s"
"世界に一つだけの花","","1","","https://www.youtube.com/watch?v=D8QvLGW4xOc&t=1822s"
"青空のラプソディ","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=3392s"
"青春アミーゴ","","1","","https://www.youtube.com/watch?v=cICzuveEcE4&t=2157s"
"青葉城恋唄","さとう宗幸","1","","https://www.youtube.com/watch?v=E2Y1y86oZrQ&t=2243s"
"雪の華","","1","","https://www.youtube.com/watch?v=wlh059y12eE&t=2451s"
"全部、君だった。","山崎まさよし","1","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=8595s"
"太陽曰く燃えよカオス","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=5125s"
"大空と大地の中で","","1","","https://www.youtube.com/watch?v=UG0GAz2A9Dc&t=1296s"
"大切なもの","","1","","https://www.youtube.com/watch?v=XMBTCNoXmY8&t=5714s"
"知恵と勇気だ！メダロット","","1","","https://www.youtube.com/watch?v=gEHwy-9lmrY&t=1046s"
"地上の戦士","","1","","https://www.youtube.com/watch?v=dKm-56mWB4U&t=3205s"
"天使にふれたよ！","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=9472s"
"瞳をとじて","","1","","https://www.youtube.com/watch?v=gEHwy-9lmrY&t=2225s"
"曇天","","1","","https://www.youtube.com/watch?v=ta4TEFnRbxE&t=622s"
"二人のアカボシ","","1","","https://www.youtube.com/watch?v=XMBTCNoXmY8&t=10397s"
"燃えてヒーロー","","1","","https://www.youtube.com/watch?v=cFmzigVX1GE&t=1384s"
"晩餐歌","tuki.","1","","https://www.youtube.com/watch?v=yIL7OmGSwr8&t=5323s"
"秘密の扉から会いに来て","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=6972s"
"氷の上に立つように","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=1049s"
"不死鳥のフランメ","","1","","https://www.youtube.com/watch?v=O-onF2u-Oeg&t=4786s"
"楓","スピッツ","1","","https://www.youtube.com/watch?v=zJjSObOsIlw&t=1186s"
"風","コブクロ","1","","https://www.youtube.com/watch?v=dKm-56mWB4U&t=1503s"
"冒険でしょでしょ？","","1","","https://www.youtube.com/watch?v=_SAc_F6dydA&t=5465s"
"未来は僕らの手の中","THE BLUE HEARTS","1","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=3351s"
"未来への咆哮","JAM Project","1","","https://www.youtube.com/watch?v=b7nfa5C5KXk&t=338s"
"未来予想図Ⅱ","","1","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=252s"
"夢","THE BLUE HEARTS","1","","https://www.youtube.com/watch?v=VHZfwPZjK_Q&t=5089s"
"夢のつづき","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=10290s"
"夢は終わらない ～こぼれ落ちる時の雫～","","1","","https://www.youtube.com/watch?v=d8kT-NZrycw&t=9900s"
"夢をかなえてドラえもん","","1","","https://www.youtube.com/watch?v=AXTljJMlTHs&t=488s"
"名前のない鳥","山崎まさよし","1","","https://www.youtube.com/watch?v=GFQHT1iQ8M0&t=8340s"
"勇気100%","","1","","https://www.youtube.com/watch?v=8AqvgFtaSj0&t=2710s"
"勇気りんりん","","1","","https://www.youtube.com/watch?v=Q5hrJzGKYB8&t=3113s"
"裏表ラバーズ","","1","","https://www.youtube.com/watch?v=mfSlpS_JIlU&t=1825s"
"恋愛サーキュレーション","","1","","https://www.youtube.com/watch?v=lvpcG94Inwk&t=325s"
